formula,tool,exit_status,exit_code,time,states,edges,transitions,acc,scc,nondet_states,nondet_aut,complete_aut,automaton
F((a) & (!(b)) & ((b) R ((b) | (c)))),yes.ltl2tgba#det,ok,0,0.0122785,3,5,23,1,3,1,1,0,"HOA: v1 name: ""sDBA for F(a & !b & (c W b))"" States: 3 Start: 0 AP: 3 ""b"" ""c"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc semi-deterministic stutter-invariant very-weak --BODY-- State: 0 [t] 0 [!0&1&2] 1 State: 1 {0} [!0&1] 1 [0] 2 State: 2 {0} [t] 2 --END--"
F((a) & (!(b)) & ((b) R ((b) | (c)))),yes.owl#s,ok,0,0.00726531,4,8,27,1,3,1,1,0,"HOA: v1 States: 4 Start: 0 AP: 3 ""b"" ""c"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc weak --BODY-- State: 0 [0 | !1 | !2] 0 [!0&1&2] 1 [!0&1&2] 2 State: 1 [!0&!1] 0 [!0&1] 1 State: 2 {0} [!0&1] 2 [0] 3 State: 3 {0} [t] 3 --END--"
F((a) & (!(b)) & ((b) R ((b) | (c)))),no.owl#s,ok,0,0.00194291,5,11,41,1,4,2,1,0,"HOA: v1 States: 5 Start: 0 AP: 3 ""b"" ""c"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 [!0&1&2] 1 {0} [!0&1&2] 3 [0 | !1 | !2] 0 State: 1 [!0&1] 1 {0} [0] 2 {0} State: 2 [t] 2 {0} State: 3 [!0&1] 1 {0} [!0&1] 3 [!0&!1] 0 [0] 4 {0} State: 4 [t] 4 {0} --END--"
F((a) & (!(b)) & ((b) R ((b) | (c)))),yes.owl#a,ok,0,0.00819267,4,8,31,1,3,1,1,0,"HOA: v1 States: 4 Start: 0 AP: 3 ""b"" ""c"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc weak --BODY-- State: 0 [0 | !1 | !2] 0 [!0&1&2] 1 [!0&1&2] 2 State: 1 {0} [0 | 1] 1 State: 2 [!0&!1] 0 [!0&1] 2 [0] 3 State: 3 {0} [t] 3 --END--"
F((a) & (!(b)) & ((b) R ((b) | (c)))),no.owl#a,ok,0,0.00309913,5,12,48,1,4,2,1,0,"HOA: v1 States: 5 Start: 0 AP: 3 ""b"" ""c"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 [!0&1&2] 1 {0} [0 | 1&!2] 4 [0 | !1 | !2] 0 [!0&1&2] 2 State: 1 [0 | 1] 1 {0} State: 2 [0 | 1] 1 {0} [!0&!1] 0 [0] 3 {0} [!0&1] 2 State: 3 [t] 3 {0} State: 4 [!0&1&2] 1 {0} [0 | 1&!2] 4 --END--"
F((a) & (G(b))),yes.ltl2tgba#det,ok,0,0.0112485,2,3,7,1,2,1,1,0,"HOA: v1 name: ""sDBA for F(a & Gb)"" States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc semi-deterministic stutter-invariant very-weak --BODY-- State: 0 [t] 0 [0&1] 1 State: 1 {0} [1] 1 --END--"
F((a) & (G(b))),yes.owl#s,ok,0,0.00689095,3,6,11,1,2,1,1,0,"HOA: v1 States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc weak --BODY-- State: 0 [!0 | !1] 0 [0&1] 1 [0&1] 2 State: 1 [!1] 0 [1] 1 State: 2 {0} [1] 2 --END--"
F((a) & (G(b))),no.owl#s,ok,0,0.00192303,3,7,13,1,2,2,1,0,"HOA: v1 States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 [0&1] 2 [0&1] 1 {0} [!0 | !1] 0 State: 1 [1] 1 {0} State: 2 [1] 1 {0} [1] 2 [!1] 0 --END--"
F((a) & (G(b))),yes.owl#a,ok,0,0.00836713,3,6,11,1,2,1,1,0,"HOA: v1 States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc weak --BODY-- State: 0 [!0 | !1] 0 [0&1] 1 [0&1] 2 State: 1 [!1] 0 [1] 1 State: 2 {0} [1] 2 --END--"
F((a) & (G(b))),no.owl#a,ok,0,0.0026883,4,10,16,1,3,2,1,0,"HOA: v1 States: 4 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 [!0&1] 1 [0&1] 3 [!0 | !1] 0 [0&1] 2 {0} State: 1 [!0&1] 1 [0&1] 2 {0} State: 2 [1] 2 {0} State: 3 [1] 3 [!1] 0 [1] 2 {0} --END--"
F((a) & (F((b) & (G(c))))),yes.ltl2tgba#det,ok,0,0.0127599,3,6,23,1,3,2,1,0,"HOA: v1 name: ""sDBA for F(a & F(b & Gc))"" States: 3 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc semi-deterministic stutter-invariant very-weak --BODY-- State: 0 [!0] 0 [0&1&2] 1 [0] 2 State: 1 {0} [2] 1 State: 2 [1&2] 1 [t] 2 --END--"
F((a) & (F((b) & (G(c))))),yes.owl#s,ok,0,0.00922645,4,10,31,1,3,2,1,0,"HOA: v1 States: 4 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc weak --BODY-- State: 0 [!0] 0 [0&1&2] 1 [0&!1 | 0&!2] 2 [0&1&2] 3 State: 1 {0} [2] 1 State: 2 [1&2] 1 [!1 | !2] 2 [1&2] 3 State: 3 [!2] 2 [2] 3 --END--"
F((a) & (F((b) & (G(c))))),no.owl#s,ok,0,0.00190071,4,11,35,1,3,3,1,0,"HOA: v1 States: 4 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 [!0] 0 [0&1&2] 2 [0&!1 | 0&!2] 1 [0&1&2] 3 {0} State: 1 [1&2] 2 [!1 | !2] 1 [1&2] 3 {0} State: 2 [2] 2 [!2] 1 [2] 3 {0} State: 3 [2] 3 {0} --END--"
F((a) & (F((b) & (G(c))))),yes.owl#a,ok,0,0.00973377,4,10,31,1,3,2,1,0,"HOA: v1 States: 4 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc weak --BODY-- State: 0 [!0] 0 [0&1&2] 1 [0&!1 | 0&!2] 2 [0&1&2] 3 State: 1 [2] 1 [!2] 2 State: 2 [1&2] 1 [!1 | !2] 2 [1&2] 3 State: 3 {0} [2] 3 --END--"
F((a) & (F((b) & (G(c))))),no.owl#a,ok,0,0.00228992,6,19,48,1,5,3,1,0,"HOA: v1 States: 6 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 [!0] 0 [0&1&2] 1 [0&!1 | 0&!2] 2 [0&1&2] 3 {0} [!0&2] 4 [0&!1&2] 5 State: 1 [2] 1 [!2] 2 [2] 3 {0} State: 2 [1&2] 1 [!1 | !2] 2 [1&2] 3 {0} [!1&2] 5 State: 3 [2] 3 {0} State: 4 [0&1&2] 3 {0} [!0&2] 4 [0&!1&2] 5 State: 5 [1&2] 3 {0} [!1&2] 5 --END--"
F((a) & ((!(d)) U ((b) & (!(d)) & ((d) R ((c) | (d)))))),yes.ltl2tgba#det,ok,0,0.0128477,4,8,54,1,4,2,1,0,"HOA: v1 name: ""sDBA for F(a & ((b & (c W d)) M !d))"" States: 4 Start: 0 AP: 4 ""c"" ""d"" ""b"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc semi-deterministic stutter-invariant very-weak --BODY-- State: 0 [t] 0 [0&!1&2&3] 1 [!1&3] 2 State: 1 {0} [0&!1] 1 [1] 3 State: 2 [0&!1&2&!3] 1 [!1&!3] 2 State: 3 {0} [t] 3 --END--"
F((a) & ((!(d)) U ((b) & (!(d)) & ((d) R ((c) | (d)))))),yes.owl#s,ok,0,0.00951111,5,13,71,1,3,2,1,0,"HOA: v1 States: 5 Start: 0 AP: 4 ""c"" ""d"" ""b"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc weak --BODY-- State: 0 [1 | !3] 0 [!0&!1&3 | !1&!2&3] 1 [0&!1&2&3] 2 [0&!1&2&3] 3 State: 1 [1] 0 [!0&!1 | !1&!2] 1 [0&!1&2] 2 [0&!1&2] 3 State: 2 {0} [0&!1] 2 [1] 4 State: 3 [!0&!1] 1 [0&!1] 3 State: 4 {0} [t] 4 --END--"
F((a) & ((!(d)) U ((b) & (!(d)) & ((d) R ((c) | (d)))))),no.owl#s,ok,0,0.00247685,6,16,99,1,4,3,1,0,"HOA: v1 States: 6 Start: 0 AP: 4 ""c"" ""d"" ""b"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 [!0&!1&3 | !1&!2&3] 1 [1 | !3] 0 [0&!1&2&3] 2 {0} [0&!1&2&3] 3 State: 1 [!0&!1 | !1&!2] 1 [0&!1&2] 2 {0} [1] 0 [0&!1&2] 3 State: 2 [1] 5 {0} [0&!1] 2 {0} State: 3 [!0&!1] 1 [1] 4 {0} [0&!1] 2 {0} [0&!1] 3 State: 4 [t] 4 {0} State: 5 [t] 5 {0} --END--"
F((a) & ((!(d)) U ((b) & (!(d)) & ((d) R ((c) | (d)))))),yes.owl#a,ok,0,0.00915566,5,13,79,1,3,2,1,0,"HOA: v1 States: 5 Start: 0 AP: 4 ""c"" ""d"" ""b"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc weak --BODY-- State: 0 [1 | !3] 0 [0&!1&2&3] 1 [!0&!1&3 | !1&!2&3] 3 [0&!1&2&3] 4 State: 1 [0&!1] 1 [1] 2 [!0&!1] 3 State: 2 {0} [t] 2 State: 3 [1] 0 [0&!1&2] 1 [!0&!1 | !1&!2] 3 [0&!1&2] 4 State: 4 {0} [0 | 1] 4 --END--"
